time,latitude,longitude,surface_temperature,spatial_ref
2018-09-30,16.62495,-14.87475,9741.5,4326
2018-10-31,16.625249999999998,-14.87505,47633.75,4326
2018-10-31,16.625249999999998,-14.87475,47574.5,4326
2018-10-31,16.62495,-14.87505,47527.75,4326
2018-10-31,16.62495,-14.87475,47584.75,4326
2018-11-30,16.625249999999998,-14.87505,38176.5,4326
2018-11-30,16.625249999999998,-14.87475,38118.75,4326
2018-11-30,16.62495,-14.87505,38134.75,4326
2018-11-30,16.62495,-14.87475,38157.0,4326
2018-12-31,16.625249999999998,-14.87505,47997.5,4326
2018-12-31,16.625249999999998,-14.87475,47933.75,4326
2018-12-31,16.62495,-14.87505,47945.5,4326
2018-12-31,16.62495,-14.87475,47992.25,4326
2019-01-31,16.625249999999998,-14.87505,48819.25,4326
2019-01-31,16.625249999999998,-14.87475,48786.0,4326
2019-01-31,16.62495,-14.87505,48776.75,4326
2019-01-31,16.62495,-14.87475,48849.0,4326
2019-02-28,16.625249999999998,-14.87505,48308.5,4326
2019-02-28,16.625249999999998,-14.87475,48249.5,4326
2019-02-28,16.62495,-14.87505,48290.0,4326
2019-02-28,16.62495,-14.87475,48349.0,4326
2019-03-31,16.625249999999998,-14.87505,40284.75,4326
2019-03-31,16.625249999999998,-14.87475,40441.25,4326
2019-03-31,16.62495,-14.87505,40277.75,4326
2019-03-31,16.62495,-14.87475,40513.5,4326
2019-04-30,16.625249999999998,-14.87505,46401.25,4326
2019-04-30,16.625249999999998,-14.87475,46055.0,4326
2019-04-30,16.62495,-14.87505,46635.75,4326
2019-04-30,16.62495,-14.87475,46419.25,4326
2019-05-31,16.625249999999998,-14.87505,49446.0,4326
2019-05-31,16.625249999999998,-14.87475,49220.5,4326
2019-05-31,16.62495,-14.87505,49519.75,4326
2019-05-31,16.62495,-14.87475,49390.75,4326
2019-06-30,16.625249999999998,-14.87505,51114.75,4326
2019-06-30,16.625249999999998,-14.87475,51062.75,4326
2019-06-30,16.62495,-14.87505,51105.25,4326
2019-06-30,16.62495,-14.87475,51167.75,4326
2019-07-31,16.625249999999998,-14.87505,51341.5,4326
2019-07-31,16.625249999999998,-14.87475,51255.25,4326
2019-07-31,16.62495,-14.87505,51302.25,4326
2019-07-31,16.62495,-14.87475,51319.0,4326
2019-08-31,16.625249999999998,-14.87505,51112.0,4326
2019-08-31,16.625249999999998,-14.87475,51034.25,4326
2019-08-31,16.62495,-14.87505,51078.25,4326
2019-08-31,16.62495,-14.87475,51108.75,4326
2019-09-30,16.625249999999998,-14.87505,36782.5,4326
2019-09-30,16.625249999999998,-14.87475,36779.25,4326
2019-09-30,16.62495,-14.87505,36417.75,4326
2019-09-30,16.62495,-14.87475,36487.5,4326
2019-10-31,16.625249999999998,-14.87505,44121.75,4326
2019-10-31,16.625249999999998,-14.87475,43984.0,4326
2019-10-31,16.62495,-14.87505,44053.0,4326
2019-10-31,16.62495,-14.87475,43979.75,4326
2019-11-30,16.625249999999998,-14.87505,49213.0,4326
2019-11-30,16.625249999999998,-14.87475,49092.25,4326
2019-11-30,16.62495,-14.87505,49145.25,4326
2019-11-30,16.62495,-14.87475,49130.25,4326
2019-12-31,16.625249999999998,-14.87505,48180.75,4326
2019-12-31,16.625249999999998,-14.87475,48113.0,4326
2019-12-31,16.62495,-14.87505,48168.25,4326
2019-12-31,16.62495,-14.87475,48198.75,4326
2020-01-31,16.625249999999998,-14.87505,47911.0,4326
2020-01-31,16.625249999999998,-14.87475,47860.5,4326
2020-01-31,16.62495,-14.87505,47905.5,4326
2020-01-31,16.62495,-14.87475,47962.75,4326
2020-02-29,16.625249999999998,-14.87505,36677.0,4326
2020-02-29,16.625249999999998,-14.87475,36542.5,4326
2020-02-29,16.62495,-14.87505,36868.5,4326
2020-02-29,16.62495,-14.87475,36831.5,4326
2020-03-31,16.625249999999998,-14.87505,49123.75,4326
2020-03-31,16.625249999999998,-14.87475,49072.75,4326
2020-03-31,16.62495,-14.87505,49117.25,4326
2020-03-31,16.62495,-14.87475,49205.0,4326
2020-04-30,16.625249999999998,-14.87505,50423.75,4326
2020-04-30,16.625249999999998,-14.87475,50471.25,4326
2020-04-30,16.62495,-14.87505,50490.5,4326
2020-04-30,16.62495,-14.87475,50671.75,4326
2020-05-31,16.625249999999998,-14.87505,48382.25,4326
2020-05-31,16.625249999999998,-14.87475,48449.0,4326
2020-05-31,16.62495,-14.87505,48775.0,4326
2020-05-31,16.62495,-14.87475,48922.5,4326
2020-06-30,16.625249999999998,-14.87505,42063.0,4326
2020-06-30,16.625249999999998,-14.87475,42016.5,4326
2020-06-30,16.62495,-14.87505,42178.25,4326
2020-06-30,16.62495,-14.87475,42220.0,4326
2020-07-31,16.625249999999998,-14.87505,21295.25,4326
2020-07-31,16.625249999999998,-14.87475,21309.0,4326
2020-07-31,16.62495,-14.87505,21394.75,4326
2020-07-31,16.62495,-14.87475,21465.25,4326
2020-08-31,16.625249999999998,-14.87505,44376.25,4326
2020-08-31,16.625249999999998,-14.87475,44408.75,4326
2020-08-31,16.62495,-14.87505,44560.5,4326
2020-08-31,16.62495,-14.87475,44659.75,4326
2020-09-30,16.625249999999998,-14.87505,38605.25,4326
2020-09-30,16.625249999999998,-14.87475,38539.25,4326
2020-09-30,16.62495,-14.87505,38542.75,4326
2020-09-30,16.62495,-14.87475,38561.75,4326
2020-10-31,16.625249999999998,-14.87505,35398.25,4326
2020-10-31,16.625249999999998,-14.87475,35381.75,4326
2020-10-31,16.62495,-14.87505,35442.0,4326
2020-10-31,16.62495,-14.87475,35491.5,4326
2020-11-30,16.625249999999998,-14.87505,44766.25,4326
2020-11-30,16.625249999999998,-14.87475,44648.5,4326
2020-11-30,16.62495,-14.87505,44752.5,4326
2020-11-30,16.62495,-14.87475,44725.0,4326
2020-12-31,16.625249999999998,-14.87505,48022.5,4326
2020-12-31,16.625249999999998,-14.87475,47926.5,4326
2020-12-31,16.62495,-14.87505,48005.0,4326
2020-12-31,16.62495,-14.87475,48000.0,4326
